City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,invercargill,-46.4,168.35,11.05,79,89,1.58,NZ,1687222621
165,taro,-8.3862,115.28,22.0,56,6,0.73,ID,1687222621
166,turkmenbasy,40.0222,52.9552,19.43,77,0,0.0,TM,1687222622
167,guerrero negro,27.9769,-114.0611,19.47,74,100,7.46,MX,1687222622
168,beni,0.5,29.4667,17.76,99,100,0.64,CD,1687222622
169,long beach,33.767,-118.1892,24.87,76,0,5.66,US,1687222444
170,newman,37.3138,-121.0208,25.16,63,0,3.13,US,1687222130
171,la ronge,55.1001,-105.2842,22.12,24,75,7.72,CA,1687222623
172,arklow,52.7931,-6.1414,13.93,97,100,2.36,IE,1687222623
173,kapuskasing,49.4169,-82.4331,30.0,26,0,1.03,CA,1687222623
174,zimovniki,47.1483,42.4633,13.84,54,2,2.99,RU,1687222623
175,george town,5.4112,100.3354,28.96,94,20,2.06,MY,1687222477
176,sao francisco de assis,-29.5503,-55.1311,11.91,90,100,1.46,BR,1687222624
177,newcastle,-32.9272,151.7765,14.71,44,20,7.72,AU,1687222349
178,pandan,14.0453,124.1694,28.9,77,93,2.23,PH,1687222624
179,tumayr,25.7039,45.868,28.04,17,10,2.48,SA,1687222624
180,seminole,28.7086,-81.2081,32.07,67,75,6.17,US,1687222237
181,enewetak,11.3474,162.3373,27.88,77,81,8.13,MH,1687222624
182,kayes,14.0,-11.0,24.75,77,100,7.6,ML,1687222625
183,avarua,-21.2078,-159.775,26.03,89,40,4.12,CK,1687222625
184,sandnessjoen,66.0217,12.6316,16.29,59,98,6.49,NO,1687222625
185,cubulco,15.1333,-90.5833,26.45,92,100,1.4,GT,1687222625
186,dudinka,69.4058,86.1778,4.79,94,100,2.78,RU,1687222594
187,mar del plata,-38.0023,-57.5575,11.72,79,100,3.09,AR,1687222625
188,starkville,33.4504,-88.8184,32.93,100,75,0.0,US,1687222406
189,mendoza,-32.8908,-68.8272,6.74,76,75,2.06,AR,1687222626
190,lander,42.833,-108.7307,26.73,45,20,5.14,US,1687222626
191,sinabang,2.4803,96.3801,27.41,75,7,0.57,ID,1687222626
192,ola,59.5833,151.2833,23.97,73,33,2.72,RU,1687222626
193,hilo,19.7297,-155.09,27.38,84,75,4.63,US,1687222350
194,mulayjah,27.271,48.4242,30.49,18,2,4.46,SA,1687222626
195,terekli-mekteb,44.1671,45.8698,19.85,52,100,3.41,RU,1687222626
196,margaret river,-33.95,115.0667,11.46,66,86,7.39,AU,1687222627
197,alaghsas,17.0187,8.0168,34.05,26,100,2.94,NE,1687222627
198,midvagur,62.0511,-7.1939,13.46,94,100,7.72,FO,1687222627
199,brookings,44.3114,-96.7984,33.0,35,0,8.75,US,1687222627
200,presidente bernardes,-22.0061,-51.5531,15.21,80,0,3.21,BR,1687222629
201,kodinsk,58.6881,99.1844,15.71,42,100,2.37,RU,1687222629
202,ostersund,63.1792,14.6357,17.01,33,75,3.6,SE,1687222629
203,galesong,-5.3166,119.3661,27.01,73,39,1.59,ID,1687222629
204,kargasok,59.0556,80.8572,13.19,65,100,10.26,RU,1687222630
205,labuan,5.2767,115.2417,26.2,89,20,0.0,MY,1687222630
206,hadibu,12.65,54.0333,27.07,80,71,8.26,YE,1687222630
207,kupang,-10.1667,123.5833,28.32,65,20,3.6,ID,1687222630
208,quellon,-43.1167,-73.6167,6.61,75,0,1.71,CL,1687222373
209,borogontsy,62.6683,131.1683,16.38,83,100,2.83,RU,1687222631
210,hays,30.0502,-98.0336,34.96,53,100,1.34,US,1687222631
211,carnarvon,-24.8667,113.6333,18.26,69,1,5.64,AU,1687222631
212,igrim,63.1906,64.4162,7.2,75,100,4.97,RU,1687222631
213,afaahiti,-17.75,-149.2833,27.93,78,0,4.44,PF,1687222631
214,touros,-5.1989,-35.4608,24.95,85,100,5.33,BR,1687222631
215,waddan,29.1614,16.139,22.43,35,0,4.9,LY,1687222632
216,haiku-pauwela,20.9219,-156.3051,28.01,51,40,10.29,US,1687222632
217,primorsk,46.7348,36.3443,17.68,77,6,5.08,UA,1687222632
218,kamloops,50.6665,-120.3192,11.55,82,100,3.09,CA,1687222422
219,franceville,-1.6333,13.5836,21.79,89,100,1.09,GA,1687222632
220,beyla,8.6833,-8.6333,20.12,98,95,1.12,GN,1687222632
221,pyt-yakh,60.7499,72.8582,6.73,96,100,9.75,RU,1687222633
222,whitehorse,60.7161,-135.0538,22.79,30,75,4.92,CA,1687222633
223,tierp,60.3427,17.5181,15.9,97,100,1.59,SE,1687222633
224,taroudant,30.4703,-8.877,18.81,86,38,0.94,MA,1687222633
225,east london,-33.0153,27.9116,13.85,47,2,9.79,ZA,1687222633
226,mahanoro,-19.9,48.8,20.39,71,100,0.79,MG,1687222633
227,bardai,11.65,7.2333,24.02,72,100,3.42,NG,1687222634
228,puerto deseado,-47.7503,-65.8938,4.08,61,11,8.07,AR,1687222634
229,mount pearl,47.5166,-52.7813,6.85,97,100,4.63,CA,1687222634
230,susuman,62.7833,148.1667,22.72,24,2,1.32,RU,1687222634
231,tocopilla,-22.092,-70.1979,20.31,63,0,5.26,CL,1687222634
232,kingston,17.997,-76.7936,29.53,70,20,8.23,JM,1687222356
233,lihue,21.9789,-159.3672,28.58,67,0,5.14,US,1687222635
234,lebu,-37.6167,-73.65,11.21,84,100,1.7,CL,1687222635
235,kristiansund,63.1115,7.732,19.36,59,100,0.51,NO,1687222635
236,morozovsk,48.3539,41.8261,13.48,57,2,2.89,RU,1687222635
237,yaren,-0.5472,166.916,28.45,69,100,0.89,NR,1687222635
238,sabang,5.8933,95.3214,27.94,72,20,6.31,ID,1687222635
239,tolanaro,-25.0319,46.9987,21.04,60,20,7.2,MG,1687222636
240,same,-4.0667,37.7333,17.9,89,51,0.77,TZ,1687222636
241,taourirt,34.4073,-2.8973,22.68,54,0,0.46,MA,1687222636
242,minas de marcona,-15.2119,-75.1103,13.17,86,60,5.72,PE,1687222636
243,hurricane,37.1753,-113.2899,34.19,18,4,12.14,US,1687222452
244,abilene,32.4487,-99.7331,39.12,39,0,6.17,US,1687222551
245,laguna,38.421,-121.4238,26.41,38,0,5.66,US,1687222636
246,saint-joseph,-21.3667,55.6167,20.21,75,65,4.93,RE,1687222637
247,san patricio,28.017,-97.5169,33.43,74,3,7.15,US,1687222637
248,naze,28.3667,129.4833,24.51,88,78,0.88,JP,1687222637
249,grand rapids,42.9634,-85.6681,28.97,28,75,4.63,US,1687222368
250,chateaubourg,48.1112,-1.4002,20.84,98,100,3.81,FR,1687222637
251,carutapera,-1.195,-46.02,24.47,89,19,2.15,BR,1687222399
252,martapura,-3.4167,114.85,25.05,88,40,1.03,ID,1687222638
253,cockburn town,21.4612,-71.1419,28.53,77,82,8.49,TC,1687222638
254,san jeronimo de juarez,17.1333,-100.4667,30.45,72,30,2.01,MX,1687222638
255,dunedin,-45.8742,170.5036,12.11,95,99,1.34,NZ,1687222361
256,puerto escondido,15.85,-97.0667,29.52,74,35,1.31,MX,1687222638
257,sitka,57.0531,-135.33,17.94,63,0,7.2,US,1687222638
258,chibougamau,49.9168,-74.3659,17.79,82,75,1.54,CA,1687222639
259,slavgorod,52.9978,78.6449,14.28,64,0,10.07,RU,1687222639
260,al jumum,21.6169,39.6981,30.27,43,58,2.4,SA,1687222639
261,t'ongch'on-up,38.9539,127.8917,19.65,92,100,2.21,KP,1687222639
262,ambodifotatra,-16.9833,49.85,23.8,67,100,6.76,MG,1687222639
263,kondoa,-4.9,35.7833,12.84,96,2,1.88,TZ,1687222640
264,ustyuzhna,58.8394,36.4321,9.58,96,2,2.22,RU,1687222640
265,mersa matruh,31.3525,27.2453,22.11,88,40,3.6,EG,1687222640
266,parauna,-16.9478,-50.4486,18.3,54,0,1.77,BR,1687222640
267,colonia,50.9333,6.95,22.12,74,0,2.57,DE,1687222605
268,xinyuan,37.3,99.0,9.06,57,100,0.85,CN,1687222640
269,roma,43.2128,-75.4557,20.88,74,19,1.82,US,1687222640
270,las heras,-46.5419,-68.9359,-0.62,61,0,4.56,AR,1687222641
271,floro,61.5996,5.0328,17.91,94,99,2.02,NO,1687222641
272,rabaul,-4.1967,152.1721,28.67,75,99,5.78,PG,1687222641
273,howrah,22.5892,88.3103,30.0,89,40,4.63,IN,1687222641
274,uliastay,47.7417,96.8444,21.18,28,86,3.95,MN,1687222641
275,inhambane,-23.865,35.3833,17.81,88,0,4.25,MZ,1687222641
276,lompoc,34.6391,-120.4579,23.21,71,0,12.96,US,1687222642
277,xishan,27.6667,113.5,24.5,99,100,1.15,CN,1687222642
278,ust'-kulom,61.6864,53.6902,3.07,77,59,2.36,RU,1687222642
279,kotlas,61.2611,46.6556,3.88,73,100,1.62,RU,1687222642
280,muscatine,41.4667,-91.1335,30.09,35,0,2.06,US,1687222642
281,antsohihy,-14.8796,47.9875,19.97,66,5,3.17,MG,1687222642
282,al kharijah,25.4514,30.5464,25.18,23,0,3.92,EG,1687222643
283,belomorsk,64.5232,34.7668,8.73,75,91,1.62,RU,1687222643
284,gambiran satu,-8.3939,114.1464,26.71,66,9,0.81,ID,1687222643
285,forster,-32.1667,152.5167,13.54,44,14,6.15,AU,1687222643
286,denison,33.7557,-96.5367,33.28,75,85,2.24,US,1687222643
287,la'ie,21.6477,-157.9253,30.98,63,11,2.24,US,1687222643
288,butte,39.6499,-121.5677,23.34,24,0,2.06,US,1687222644
289,ibresi,55.2961,47.0394,8.09,91,100,2.28,RU,1687222644
290,bavly,54.393,53.2602,6.78,70,100,1.99,RU,1687222644
291,usogorsk,63.4106,48.6872,5.61,63,100,2.88,RU,1687222644
292,weno,7.4515,151.8468,28.97,84,75,1.54,FM,1687222644
293,fuglafjordur,62.244,-6.814,13.26,99,100,8.58,FO,1687222644
294,san pedro pochutla,15.7333,-96.4667,29.84,74,70,1.44,MX,1687222644
295,vila velha,-20.3297,-40.2925,21.08,82,75,4.63,BR,1687222378
296,tosontsengel,48.7567,98.2839,17.25,40,100,1.7,MN,1687222645
297,tazovsky,67.4667,78.7,2.47,91,100,3.58,RU,1687222645
298,itoman,26.1247,127.6694,29.21,89,75,4.12,JP,1687222645
299,antsiranana,-12.2787,49.2917,22.64,67,5,6.53,MG,1687222645
300,hasaki,35.7333,140.8333,25.68,66,97,4.46,JP,1687222645
301,changsu,35.6484,127.5152,26.75,37,96,1.44,KR,1687222646
302,fortuna,40.5982,-124.1573,15.52,72,75,4.63,US,1687222646
303,el calafate,-50.3408,-72.2768,-0.53,65,100,0.93,AR,1687222646
304,saint-pierre,-21.3393,55.4781,20.82,56,100,4.12,RE,1687222646
305,nuku'alofa,-21.1333,-175.2,22.19,78,75,4.12,TO,1687222646
306,rio preto da eva,-2.6994,-59.6997,23.0,98,7,0.3,BR,1687222647
307,yeraliyev,43.2,51.65,19.1,39,84,3.17,KZ,1687222647
308,niafunke,15.9322,-3.9906,34.45,27,0,3.36,ML,1687222647
309,santa cruz,-17.8,-63.1667,19.7,77,0,5.14,BO,1687222478
310,the pas,53.8251,-101.2541,24.01,53,40,6.69,CA,1687222647
311,langepas,61.2544,75.2124,7.06,91,100,11.1,RU,1687222647
312,sosnovoborsk,56.1325,93.3589,16.78,59,29,4.13,RU,1687222648
313,selfoss,63.9331,-20.9971,10.58,90,40,2.45,IS,1687222648
314,castillos,-34.1667,-53.8333,10.68,86,100,2.62,UY,1687222648
315,idritsa,56.3316,28.8988,13.03,54,5,2.19,RU,1687222648
316,sittwe,20.15,92.9,27.87,82,97,3.85,MM,1687222649
317,padang,-0.9492,100.3543,24.03,76,100,1.2,ID,1687222649
318,siwa oasis,29.2041,25.5195,24.33,55,0,3.89,EG,1687222649
319,suva,-18.1416,178.4415,24.71,73,75,3.09,FJ,1687222067
320,voss,60.623,6.4229,15.8,90,100,1.32,NO,1687222649
321,khorixas,-20.3667,14.9667,14.26,32,0,2.37,NA,1687222649
322,sola,-13.8833,167.55,25.45,72,34,7.22,VU,1687222649
323,katsuura,35.1333,140.3,23.01,68,95,4.7,JP,1687222650
324,ambovombe,-25.1667,46.0833,16.85,72,0,3.2,MG,1687222650
325,krasnohrad,49.3814,35.4402,13.54,73,6,1.85,UA,1687222650
326,guglingen,49.0697,8.9944,21.93,77,100,5.08,DE,1687222651
327,mae hong son,19.3003,97.9685,26.08,78,75,1.03,TH,1687222651
328,el bauga,18.262,33.9081,32.57,29,43,2.95,SD,1687222651
329,kidal,18.4411,1.4078,34.73,23,66,2.59,ML,1687222652
330,xindi,29.8167,113.4667,26.98,77,24,1.21,CN,1687222652
331,bagneres-de-bigorre,43.0667,0.15,17.83,88,100,3.09,FR,1687222652
332,mount gambier,-37.8333,140.7667,8.7,69,100,1.76,AU,1687222405
333,labytnangi,66.6572,66.4183,6.1,74,93,3.28,RU,1687222652
334,saint-philippe,-21.3585,55.7679,20.77,77,88,4.54,RE,1687222653
335,la toma,-33.0526,-65.6238,6.01,86,100,3.36,AR,1687222653
336,coahuayana de hidalgo,18.7,-103.6583,29.84,60,3,2.32,MX,1687222653
337,matelica,43.2541,13.0106,21.67,82,7,2.65,IT,1687222653
338,palmer,42.1584,-72.3287,21.34,72,75,2.57,US,1687222653
339,flying fish cove,-10.4217,105.6791,24.82,100,75,0.0,CX,1687222654
340,carbonear,47.7332,-53.2148,7.56,96,100,4.12,CA,1687222654
341,lorengau,-2.0226,147.2712,29.18,72,76,4.91,PG,1687222654
342,lycksele,64.5954,18.6735,10.93,87,100,1.03,SE,1687222654
343,sao francisco,-15.9486,-44.8644,21.39,54,6,3.47,BR,1687222654
344,wanning,18.8003,110.3967,30.12,72,1,3.88,CN,1687222654
345,sheopur,25.6667,76.7,26.61,82,83,5.18,IN,1687222655
346,sidney,-33.8679,151.2073,14.06,45,0,6.17,AU,1687222621
347,kuressaare,58.2481,22.5039,18.3,83,100,2.57,EE,1687222655
348,fort bragg,35.139,-79.006,23.08,88,100,2.06,US,1687222655
349,aoulef,26.9667,1.0833,35.51,10,0,4.59,DZ,1687222656
350,guangyuan,32.442,105.823,24.27,58,100,1.02,CN,1687222656
351,tindouf,27.6711,-8.1474,19.71,69,0,9.79,DZ,1687222656
352,napanee,44.2501,-76.9494,22.02,83,9,2.96,CA,1687222656
353,saint-laurent-du-maroni,5.5039,-54.0289,23.22,99,44,0.57,GF,1687222656
354,wuwei,37.9281,102.6414,23.98,22,98,1.04,CN,1687222657
355,devonport,-41.1667,146.35,8.9,66,27,2.95,AU,1687222657
356,micheweni,-4.9667,39.8333,24.84,79,4,3.95,TZ,1687222657
357,fale old settlement,-9.3852,-171.2468,28.15,68,39,3.69,TK,1687222657
358,barcelos,41.5388,-8.6151,18.8,96,10,1.1,PT,1687222428
359,puerto leguizamo,-0.1934,-74.7819,22.72,81,33,0.9,CO,1687222657
360,mwinilunga,-11.7358,24.4293,10.72,56,4,1.43,ZM,1687222658
361,oranjemund,-28.55,16.4333,12.28,84,100,3.96,NA,1687222658
362,sumbawa besar,-8.5,117.4333,27.59,61,17,1.68,ID,1687222658
363,columbia,34.0007,-81.0348,25.0,89,75,2.06,US,1687222529
364,malindi,-3.2175,40.1191,25.17,80,1,5.81,KE,1687222658
365,semporna,4.4818,118.6112,25.87,87,100,4.47,MY,1687222658
